Date,Sentiment_Consumer,Sentiment_EPU,Sentiment_VIX,Sentiment
1989-07-31,92.0,84.56992,,-0.0990156465009816
1989-08-31,89.6,95.86038,,-0.0663276379944712
1989-09-30,95.8,90.9182,,0.10607466747689415
1989-10-31,93.9,91.59669,,0.044377408696177734
1989-11-30,90.9,107.84913,,0.10792025254979945
1989-12-31,90.5,107.09523,,0.08542357965593089
1990-01-31,93.0,100.35918,25.36,0.3338685297981651
1990-02-28,89.5,89.59095,21.99,0.021390200735626214
1990-03-31,91.3,86.06529,19.73,-0.06179500796922402
1990-04-30,93.9,76.6617,19.52,-0.07487233027387177
1990-05-31,90.6,118.53795,17.37,0.04453631377322501
1990-06-30,88.3,120.52674,15.5,-0.08121406487257572
1990-07-31,88.2,111.56962,21.11,0.10569124425302245
1990-08-31,76.4,142.16524,29.9,0.4325603026960967
1990-09-30,72.8,157.69529,29.11,0.4197366258668597
1990-10-31,63.9,141.11953,30.04,0.12931983822746593
1990-11-30,66.0,145.29094,22.16,-0.14529309025050938
1990-12-31,65.5,134.48512,26.38,-0.04371989820072094
1991-01-31,66.8,175.65861,20.91,0.03240436336322864
1991-02-28,70.4,115.21345,21.23,-0.2934154528265727
1991-03-31,87.7,116.02571,16.88,-0.06538699971327859
1991-04-30,81.8,107.24167,18.24,-0.20884774481764526
1991-05-31,78.3,94.75868,15.93,-0.4857117195725791
1991-06-30,82.1,96.9376,19.55,-0.2154361418393468
1991-07-31,82.9,93.53158,15.18,-0.4169675738481737
1991-08-31,82.0,100.59554,14.46,-0.421215482743812
1991-09-30,83.0,117.04782,15.85,-0.2181560401849766
1991-10-31,78.3,105.54142,15.48,-0.42975983745426766
1991-11-30,69.1,122.24914,20.26,-0.3187903465729832
1991-12-31,68.2,139.99912,19.31,-0.25786277219041437
1992-01-31,67.5,109.20085,17.4,-0.5784908853728489
1992-02-29,68.8,125.53676,16.68,-0.46402190646849767
1992-03-31,76.0,91.70582,16.18,-0.5516285702353475
1992-04-30,77.2,87.58229,15.53,-0.581040028638848
1992-05-31,79.2,96.87494,13.86,-0.5422163685087751
1992-06-30,80.4,122.34916,13.35,-0.3561144555466167
1992-07-31,76.6,120.91493,13.17,-0.4662127950804728
1992-08-31,76.1,115.90751,13.58,-0.4952298647845235
1992-09-30,75.6,127.01963,14.28,-0.39724800268524496
1992-10-31,73.3,138.52178,16.15,-0.2873307752658234
1992-11-30,85.3,118.77686,13.01,-0.2782319126665254
1992-12-31,91.0,106.86792,12.57,-0.2444415499398015
1993-01-31,89.3,102.53033,12.42,-0.3229492090881733
1993-02-28,86.6,119.96253,13.16,-0.2316722014138998
1993-03-31,85.9,121.55786,12.53,-0.26568715170878276
1993-04-30,85.6,109.25684,12.42,-0.36484100312994633
1993-05-31,80.3,133.58967,13.47,-0.2736752985000426
1993-06-30,81.5,126.04877,11.26,-0.39749355476956655
1993-07-31,77.0,117.5845,11.73,-0.5449321931805954
1993-08-31,77.3,106.03237,11.85,-0.6139316312728756
1993-09-30,77.9,106.27469,12.99,-0.5463778405978071
1993-10-31,82.7,84.48769,11.46,-0.6532505755414589
1993-11-30,81.2,84.55661,13.76,-0.5854459843914867
1993-12-31,88.2,77.52033,11.66,-0.5605444923476773
1994-01-31,94.3,80.0098,10.63,-0.44188094684099744
1994-02-28,93.2,94.5927,14.87,-0.1744528239162004
1994-03-31,91.5,87.00632,20.45,-0.01788522386592098
1994-04-30,92.6,100.41637,13.77,-0.19732844790777282
1994-05-31,92.8,96.5273,13.03,-0.2533079046517001
1994-06-30,91.2,92.37979,14.97,-0.2339358333239582
1994-07-31,89.0,85.37095,11.13,-0.5095828183479366
1994-08-31,91.7,92.82606,11.97,-0.35379423202420207
1994-09-30,91.5,90.63002,14.28,-0.2701249827305319
1994-10-31,92.7,76.49899,14.56,-0.3283927832257553
1994-11-30,91.6,91.77528,15.95,-0.18440751139903436
1994-12-31,95.1,91.795,13.2,-0.22350582945949007
1995-01-31,97.6,107.95494,11.96,-0.10469108540537564
1995-02-28,95.1,86.32307,11.75,-0.3274814519955607
1995-03-31,90.3,78.09662,13.37,-0.42870283581822993
1995-04-30,92.5,65.99178,11.75,-0.5340390998308222
1995-05-31,89.8,74.70236,12.85,-0.48819812118205047
1995-06-30,92.7,79.67356,11.38,-0.449158545461285
1995-07-31,94.4,83.03811,13.49,-0.2892640707526013
1995-08-31,96.2,66.76376,11.52,-0.44950256142177697
1995-09-30,88.9,75.22518,12.74,-0.5112113065628502
1995-10-31,90.2,80.62605,13.83,-0.392525866569947
1995-11-30,88.2,90.53283,11.58,-0.47216956861866727
1995-12-31,91.0,84.34724,12.52,-0.40587838687297156
1996-01-31,89.3,90.66317,12.53,-0.4018774213208282
1996-02-29,88.5,75.83463,17.04,-0.32293054584565306
1996-03-31,93.7,72.65243,18.88,-0.13686702492279487
1996-04-30,92.7,69.19065,15.83,-0.3228591660454352
1996-05-31,89.4,69.42779,16.07,-0.3901435954709247
1996-06-30,92.4,81.17971,13.68,-0.3421882927523984
1996-07-31,94.7,73.61083,19.46,-0.07980125124675956
1996-08-31,95.3,83.65826,17.01,-0.10460943416055703
1996-09-30,94.7,77.97562,16.95,-0.1619819612897919
1996-10-31,96.5,64.19595,18.11,-0.16363380900453103
1996-11-30,99.2,74.20867,17.14,-0.07127671486697955
1996-12-31,96.9,69.97417,20.92,0.013420569291427209
1997-01-31,97.4,74.96831,19.47,-0.004490534540965795
1997-02-28,99.7,87.69729,21.1,0.21448302157684881
1997-03-31,100.0,75.01231,22.14,0.17890649277098195
1997-04-30,101.4,75.45429,20.06,0.1222031756608684
