date,Infra_Macro
1995-06-01,80.0
1995-07-01,77.41935483870968
1995-08-01,68.75
1995-09-01,54.54545454545454
1995-10-01,44.11764705882353
1995-11-01,31.428571428571427
1995-12-01,19.444444444444446
1996-01-01,29.72972972972973
1996-02-01,23.684210526315788
1996-03-01,12.82051282051282
1996-04-01,15.0
1996-05-01,2.4390243902439024
1996-06-01,2.380952380952381
1996-07-01,2.3255813953488373
1996-08-01,4.545454545454546
1996-09-01,4.444444444444445
1996-10-01,10.869565217391305
1996-11-01,17.02127659574468
1996-12-01,25.0
1997-01-01,14.285714285714285
1997-02-01,2.0
1997-03-01,1.9607843137254901
1997-04-01,5.769230769230769
1997-05-01,11.320754716981133
1997-06-01,9.25925925925926
1997-07-01,27.27272727272727
1997-08-01,33.92857142857143
1997-09-01,56.14035087719298
1997-10-01,55.172413793103445
1997-11-01,20.33898305084746
1997-12-01,15.0
1998-01-01,4.918032786885246
1998-02-01,24.193548387096776
1998-03-01,25.396825396825395
1998-04-01,71.875
1998-05-01,92.3076923076923
1998-06-01,99.0
1998-07-01,98.50746268656717
1998-08-01,98.52941176470588
1998-09-01,92.7536231884058
1998-10-01,78.57142857142857
1998-11-01,64.7887323943662
1998-12-01,56.94444444444444
1999-01-01,93.15068493150685
1999-02-01,99.0
1999-03-01,98.66666666666667
1999-04-01,78.94736842105263
1999-05-01,70.12987012987013
1999-06-01,98.71794871794873
1999-07-01,99.0
1999-08-01,93.75
1999-09-01,92.5925925925926
1999-10-01,96.34146341463415
1999-11-01,98.79518072289156
1999-12-01,98.80952380952381
2000-01-01,96.47058823529412
2000-02-01,98.83720930232558
2000-03-01,97.70114942528735
2000-04-01,94.31818181818183
2000-05-01,98.87640449438202
2000-06-01,93.33333333333333
2000-07-01,99.0
2000-08-01,99.0
2000-09-01,99.0
2000-10-01,98.93617021276596
2000-11-01,99.0
2000-12-01,96.875
2001-01-01,83.50515463917526
2001-02-01,79.59183673469387
2001-03-01,87.87878787878788
2001-04-01,94.0
2001-05-01,98.01980198019803
2001-06-01,98.0392156862745
2001-07-01,95.14563106796116
2001-08-01,98.07692307692307
2001-09-01,95.23809523809523
2001-10-01,99.0
2001-11-01,98.13084112149532
2001-12-01,99.0
2002-01-01,99.0
2002-02-01,98.18181818181819
2002-03-01,97.2972972972973
2002-04-01,96.42857142857143
2002-05-01,88.49557522123894
2002-06-01,84.21052631578947
2002-07-01,83.47826086956522
2002-08-01,78.44827586206897
2002-09-01,72.64957264957265
2002-10-01,81.35593220338984
2002-11-01,82.35294117647058
2002-12-01,81.66666666666667
2003-01-01,86.66666666666667
2003-02-01,86.66666666666667
2003-03-01,90.0
2003-04-01,85.0
2003-05-01,80.0
2003-06-01,78.33333333333333
2003-07-01,63.33333333333333
2003-08-01,68.33333333333333
2003-09-01,82.5
2003-10-01,70.83333333333334
2003-11-01,64.16666666666667
2003-12-01,78.33333333333333
2004-01-01,74.16666666666667
2004-02-01,56.666666666666664
2004-03-01,63.33333333333333
2004-04-01,55.00000000000001
2004-05-01,48.333333333333336
2004-06-01,45.83333333333333
2004-07-01,47.5
2004-08-01,64.16666666666667
2004-09-01,72.5
2004-10-01,70.0
2004-11-01,60.83333333333333
2004-12-01,62.5
2005-01-01,71.66666666666667
2005-02-01,67.5
2005-03-01,60.0
2005-04-01,71.66666666666667
2005-05-01,77.5
2005-06-01,75.83333333333333
2005-07-01,78.33333333333333
2005-08-01,76.66666666666667
2005-09-01,70.0
2005-10-01,80.0
2005-11-01,86.66666666666667
2005-12-01,86.66666666666667
2006-01-01,90.0
2006-02-01,90.83333333333333
2006-03-01,92.5
2006-04-01,86.66666666666667
2006-05-01,88.33333333333333
2006-06-01,93.33333333333333
2006-07-01,96.66666666666667
2006-08-01,96.66666666666667
2006-09-01,96.66666666666667
2006-10-01,96.66666666666667
2006-11-01,97.5
2006-12-01,99.0
2007-01-01,97.5
2007-02-01,99.0
2007-03-01,99.0
2007-04-01,99.0
2007-05-01,99.0
2007-06-01,99.0
2007-07-01,99.0
2007-08-01,99.0
2007-09-01,99.0
2007-10-01,99.0
2007-11-01,99.0
2007-12-01,99.0
2008-01-01,99.0
2008-02-01,99.0
2008-03-01,98.33333333333333
2008-04-01,95.83333333333334
2008-05-01,98.33333333333333
2008-06-01,93.33333333333333
2008-07-01,93.33333333333333
2008-08-01,90.0
2008-09-01,93.33333333333333
2008-10-01,95.0
2008-11-01,92.5
2008-12-01,95.83333333333334
2009-01-01,89.16666666666667
2009-02-01,90.0
2009-03-01,99.0
2009-04-01,89.16666666666667
2009-05-01,97.5
2009-06-01,98.33333333333333
2009-07-01,98.33333333333333
2009-08-01,98.33333333333333
2009-09-01,95.0
2009-10-01,83.33333333333334
2009-11-01,81.66666666666667
2009-12-01,79.16666666666666
2010-01-01,73.33333333333333
2010-02-01,73.33333333333333
2010-03-01,71.66666666666667
2010-04-01,74.16666666666667
2010-05-01,75.0
2010-06-01,75.0
2010-07-01,71.66666666666667
2010-08-01,72.5
2010-09-01,71.66666666666667
2010-10-01,76.66666666666667
2010-11-01,94.16666666666667
2010-12-01,85.83333333333333
2011-01-01,61.66666666666667
2011-02-01,61.66666666666667
2011-03-01,63.33333333333333
2011-04-01,65.83333333333333
2011-05-01,65.83333333333333
2011-06-01,70.83333333333334
2011-07-01,72.5
2011-08-01,75.0
2011-09-01,77.5
2011-10-01,76.66666666666667
2011-11-01,77.5
2011-12-01,80.0
2012-01-01,99.0
2012-02-01,99.0
2012-03-01,98.33333333333333
2012-04-01,99.0
2012-05-01,99.0
