Date,Infra_Power_Grid,Infra_Construction,Infra_Materials,Infra_Supply,Infra
1939-01-31,3.3899227850833196,,,3.3899227850833196,3.3899227850833196
1939-02-28,3.415822204595271,,,3.415822204595271,3.415822204595271
1939-03-31,3.4934212509748557,,,3.4934212509748557,3.4934212509748557
1939-04-30,3.5192710644086733,,,3.5192710644086733,3.5192710644086733
1939-05-31,3.532573098837468,,,3.532573098837468,3.532573098837468
1939-06-30,3.571072462195339,,,3.571072462195339,3.571072462195339
1939-07-31,3.571072462195339,,,3.571072462195339,3.571072462195339
1939-08-31,3.6095718255532088,,,3.6095718255532088,3.6095718255532088
1939-09-30,3.7130702914447458,,,3.7130702914447458,3.7130702914447458
1939-10-31,3.7130702914447458,,,3.7130702914447458,3.7130702914447458
1939-11-30,3.752219580544594,,,3.752219580544594,3.752219580544594
1939-12-31,3.752219580544594,,,3.752219580544594,3.752219580544594
1940-01-31,3.778069393978411,,,3.778069393978411,3.778069393978411
1940-02-29,3.8298186269241796,,,3.8298186269241796,3.8298186269241796
1940-03-31,3.85571804643613,,,3.85571804643613,3.85571804643613
1940-04-30,3.85571804643613,,,3.85571804643613,3.85571804643613
1940-05-31,3.8948698942987425,,,3.8948698942987425,3.8948698942987425
1940-06-30,3.933369257656613,,,3.933369257656613,3.933369257656613
1940-07-31,3.933369257656613,,,3.933369257656613,3.933369257656613
1940-08-31,3.985118490602381,,,3.985118490602381,3.985118490602381
1940-09-30,4.023617853960252,,,4.023617853960252,4.023617853960252
1940-10-31,4.062717536981967,,,4.062717536981967,4.062717536981967
1940-11-30,4.166216002873503,,,4.166216002873503,4.166216002873503
1940-12-31,4.166216002873503,,,4.166216002873503,4.166216002873503
1941-01-31,4.205365291973352,,,4.205365291973352,4.205365291973352
1941-02-28,4.243916820172119,,,4.243916820172119,4.243916820172119
1941-03-31,4.308915922705785,,,4.308915922705785,4.308915922705785
1941-04-30,4.347415286063656,,,4.347415286063656,4.347415286063656
1941-05-31,4.38651496908537,,,4.38651496908537,4.38651496908537
1941-06-30,4.450913751955191,,,4.450913751955191,4.450913751955191
1941-07-31,4.502613378822826,,,4.502613378822826,4.502613378822826
1941-08-31,4.5411127421806965,,,4.5411127421806965,4.5411127421806965
1941-09-30,4.580314196121443,,,4.580314196121443,4.580314196121443
1941-10-31,4.60616400955526,,,4.60616400955526,4.60616400955526
1941-11-30,4.644663372913131,,,4.644663372913131,4.644663372913131
1941-12-31,4.748161838804666,,,4.748161838804666,4.748161838804666
1942-01-31,4.82641081092623,,,4.82641081092623,4.82641081092623
1942-02-28,4.8649101742841,,,4.8649101742841,4.8649101742841
1942-03-31,4.890809593796051,,,4.890809593796051,4.890809593796051
1942-04-30,4.904111628224847,,,4.904111628224847,4.904111628224847
1942-05-31,4.890809593796051,,,4.890809593796051,4.890809593796051
1942-06-30,4.916711572070765,,,4.916711572070765,4.916711572070765
1942-07-31,5.058709401320174,,,5.058709401320174,5.058709401320174
1942-08-31,5.097809084341888,,,5.097809084341888,5.097809084341888
1942-09-30,5.123708503853839,,,5.123708503853839,5.123708503853839
1942-10-31,5.136958373441737,,,5.136958373441737,5.136958373441737
1942-11-30,5.201307550233425,,,5.201307550233425,5.201307550233425
1942-12-31,5.279008367532041,,,5.279008367532041,5.279008367532041
1943-01-31,5.24050900417417,,,5.24050900417417,5.24050900417417
1943-02-28,5.304858180965858,,,5.304858180965858,5.304858180965858
1943-03-31,5.344007470065707,,,5.344007470065707,5.344007470065707
1943-04-30,5.408356646857395,,,5.408356646857395,5.408356646857395
1943-05-31,5.434256066369345,,,5.434256066369345,5.434256066369345
1943-06-30,5.537704926182748,,,5.537704926182748,5.537704926182748
1943-07-31,5.562954419952721,,,5.562954419952721,5.562954419952721
1943-08-31,5.602155873893467,,,5.602155873893467,5.602155873893467
1943-09-30,5.7189042093729,,,5.7189042093729,5.7189042093729
1943-10-31,5.732154078960798,,,5.732154078960798,5.732154078960798
1943-11-30,5.796503255752485,,,5.796503255752485,5.796503255752485
1943-12-31,5.796503255752485,,,5.796503255752485,5.796503255752485
1944-01-31,5.7580038923946155,,,5.7580038923946155,5.7580038923946155
1944-02-29,5.822402675264437,,,5.822402675264437,5.822402675264437
1944-03-31,5.92595330599687,,,5.92595330599687,5.92595330599687
1944-04-30,5.965052989018586,,,5.965052989018586,5.965052989018586
1944-05-31,5.9518031194306875,,,5.9518031194306875,5.9518031194306875
1944-06-30,5.93855324984279,,,5.93855324984279,5.93855324984279
1944-07-31,5.873501982468227,,,5.873501982468227,5.873501982468227
1944-08-31,5.912703436408973,,,5.912703436408973,5.912703436408973
1944-09-30,5.900001721644022,,,5.900001721644022,5.900001721644022
1944-10-31,5.874752227874049,,,5.874752227874049,5.874752227874049
1944-11-30,5.900001721644022,,,5.900001721644022,5.900001721644022
1944-12-31,5.92595330599687,,,5.92595330599687,5.92595330599687
1945-01-31,6.029402165810273,,,6.029402165810273,6.029402165810273
1945-02-28,6.042652035398171,,,6.042652035398171,6.042652035398171
1945-03-31,6.003552352376456,,,6.003552352376456,6.003552352376456
1945-04-30,6.003552352376456,,,6.003552352376456,6.003552352376456
1945-05-31,6.0553015853222245,,,6.0553015853222245,6.0553015853222245
1945-06-30,6.119650762113912,,,6.119650762113912,6.119650762113912
1945-07-31,6.0805510790921975,,,6.0805510790921975,6.0805510790921975
1945-08-31,5.990302482788558,,,5.990302482788558,5.990302482788558
1945-09-30,5.900001721644022,,,5.900001721644022,5.900001721644022
1945-10-31,5.874752227874049,,,5.874752227874049,5.874752227874049
